rho,seed,num_cohorts,f1,precision,recall,auc,posterior_gap,test_mse,mean_posterior_byz,mean_posterior_hon,pct_cohorts_majority_byz,max_cohort_byz_frac,mean_cohort_byz_frac,run_seconds,error
0.050000,11,5,0.309859,0.215686,0.550000,0.545937,0.013429,0.009424,0.150021,0.136591,0.000000,0.300000,0.180000,10.419924,
0.050000,23,5,0.333333,0.230769,0.600000,0.567813,0.014087,0.011375,0.159251,0.145164,0.000000,0.300000,0.180000,5.469570,
0.050000,47,5,0.333333,0.214286,0.750000,0.593438,0.020324,0.025905,0.177213,0.156888,0.000000,0.400000,0.260000,5.381957,
0.050000,91,5,0.320988,0.213115,0.650000,0.578750,0.025089,0.013061,0.177759,0.152670,0.000000,0.400000,0.220000,5.444707,
0.050000,137,5,0.333333,0.230769,0.600000,0.562500,0.016421,0.010070,0.145840,0.129419,0.000000,0.200000,0.160000,5.429955,
0.100000,11,10,0.341463,0.333333,0.350000,0.615625,0.026981,0.009115,0.138393,0.111412,0.000000,0.300000,0.170000,5.520842,
0.100000,23,10,0.400000,0.360000,0.450000,0.702812,0.054814,0.011220,0.167060,0.112247,0.000000,0.400000,0.190000,5.478006,
0.100000,47,10,0.290909,0.228571,0.400000,0.612188,0.029520,0.014962,0.135967,0.106447,0.000000,0.400000,0.250000,5.489980,
0.100000,91,10,0.269231,0.218750,0.350000,0.535000,0.028258,0.022900,0.146191,0.117933,0.000000,0.400000,0.260000,5.383549,
0.100000,137,10,0.307692,0.250000,0.400000,0.556562,0.013539,0.011162,0.117385,0.103846,0.000000,0.400000,0.200000,5.448309,
0.150000,11,15,0.250000,0.250000,0.250000,0.562500,0.017472,0.009641,0.103322,0.085851,0.000000,0.400000,0.213333,5.470894,
0.150000,23,15,0.450000,0.450000,0.450000,0.717188,0.050968,0.011174,0.150341,0.099373,0.000000,0.400000,0.186667,5.531136,
0.150000,47,15,0.350000,0.350000,0.350000,0.577500,0.029805,0.010527,0.123355,0.093550,0.000000,0.400000,0.206667,5.530735,
