method,attack,byzantine_frac,seed,rho,num_clients,cohort_size,num_cohorts,n_byzantine,pct_cohorts_majority_byz,max_cohort_byz_frac,final_test_acc,final_test_loss,history,f1,precision,recall,auc,posterior_gap,run_seconds,error
ours,sign_flip,0.100000,11,0.300000,100,10,30,10,0.000000,0.300000,0.224100,1.982852,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.579343548583984, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 10, ""test_acc"": 0.1841, ""test_loss"": 2.174259317779541, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 20, ""test_acc"": 0.1934, ""test_loss"": 2.134680795097351, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 30, ""test_acc"": 0.2476, ""test_loss"": 2.0339374923706055, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 40, ""test_acc"": 0.2774, ""test_loss"": 1.9196811225891113, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 50, ""test_acc"": 0.2457, ""test_loss"": 1.9972596954345703, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 59, ""test_acc"": 0.2241, ""test_loss"": 1.9828524101257323, ""n_kept"": 27, ""n_filtered"": 3}]",0.300000,0.300000,0.300000,0.778889,0.102035,1942.140363,
ours,sign_flip,0.100000,23,0.300000,100,10,30,10,0.000000,0.200000,0.252100,2.003869,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.593258154678345, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 10, ""test_acc"": 0.1814, ""test_loss"": 2.326644437408447, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 20, ""test_acc"": 0.2029, ""test_loss"": 2.1290105560302734, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 30, ""test_acc"": 0.186, ""test_loss"": 2.1497061447143553, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 40, ""test_acc"": 0.2175, ""test_loss"": 2.094657765388489, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 50, ""test_acc"": 0.2587, ""test_loss"": 1.982586862564087, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 59, ""test_acc"": 0.2521, ""test_loss"": 2.003869034957886, ""n_kept"": 27, ""n_filtered"": 3}]",0.300000,0.300000,0.300000,0.691111,0.080887,1936.169348,
nodef,sign_flip,0.100000,11,0.300000,100,10,30,10,0.000000,0.300000,0.264800,1.937009,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.588283857345581, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1674, ""test_loss"": 2.1877842811584474, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.1767, ""test_loss"": 2.205667515182495, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.2281, ""test_loss"": 2.1279330879211424, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.2529, ""test_loss"": 1.9708305528640746, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.2782, ""test_loss"": 1.8996918115615844, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2648, ""test_loss"": 1.9370091892242431, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1920.819607,
nodef,sign_flip,0.100000,23,0.300000,100,10,30,10,0.000000,0.200000,0.259100,1.979351,"[{""round"": 0, ""test_acc"": 0.1002, ""test_loss"": 2.5815024978637697, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1771, ""test_loss"": 2.352111862564087, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.1925, ""test_loss"": 2.215840908050537, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.1682, ""test_loss"": 2.1680230899810793, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.2133, ""test_loss"": 2.139647267532349, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.198, ""test_loss"": 2.14906688041687, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2591, ""test_loss"": 1.9793511093139649, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1939.729445,
ours,scaled,0.100000,11,0.300000,100,10,30,10,0.000000,0.300000,0.249200,2.085253,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.619026655960083, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 10, ""test_acc"": 0.2108, ""test_loss"": 2.19789757270813, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 20, ""test_acc"": 0.2083, ""test_loss"": 2.131951589202881, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 30, ""test_acc"": 0.2341, ""test_loss"": 2.0838186298370363, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 40, ""test_acc"": 0.2435, ""test_loss"": 2.0447126657485963, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 50, ""test_acc"": 0.2346, ""test_loss"": 2.123061855316162, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 59, ""test_acc"": 0.2492, ""test_loss"": 2.0852533227920533, ""n_kept"": 27, ""n_filtered"": 3}]",0.300000,0.300000,0.300000,0.663333,0.111700,1922.975124,
ours,scaled,0.100000,23,0.300000,100,10,30,10,0.000000,0.200000,0.156700,2.421393,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.992681184387207, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 10, ""test_acc"": 0.1, ""test_loss"": 3.211132208251953, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 20, ""test_acc"": 0.1078, ""test_loss"": 2.500225378417969, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 30, ""test_acc"": 0.1631, ""test_loss"": 2.3218315055847167, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 40, ""test_acc"": 0.1962, ""test_loss"": 2.2707000999450684, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 50, ""test_acc"": 0.1837, ""test_loss"": 2.622594450378418, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 59, ""test_acc"": 0.1567, ""test_loss"": 2.421393327331543, ""n_kept"": 27, ""n_filtered"": 3}]",0.300000,0.300000,0.300000,0.637778,0.091824,1955.515071,
nodef,scaled,0.100000,11,0.300000,100,10,30,10,0.000000,0.300000,0.236300,2.014455,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.7075585105895996, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1063, ""test_loss"": 2.2649523958206177, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.1142, ""test_loss"": 2.2665707248687745, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.1861, ""test_loss"": 2.1842342964172365, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.1969, ""test_loss"": 2.4596433698654177, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.1917, ""test_loss"": 2.2947372257232668, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2363, ""test_loss"": 2.014455365753174, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1932.522083,
nodef,scaled,0.100000,23,0.300000,100,10,30,10,0.000000,0.200000,0.224100,2.094574,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.8528173839569093, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 10, ""test_acc"": 0.1, ""test_loss"": 2.9190903091430664, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 20, ""test_acc"": 0.1077, ""test_loss"": 2.8231475280761718, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 30, ""test_acc"": 0.1, ""test_loss"": 2.6365802825927735, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 40, ""test_acc"": 0.1733, ""test_loss"": 2.2342741668701174, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 50, ""test_acc"": 0.1001, ""test_loss"": 2.6250939640045168, ""n_kept"": 30, ""n_filtered"": 0}, {""round"": 59, ""test_acc"": 0.2241, ""test_loss"": 2.094574178504944, ""n_kept"": 30, ""n_filtered"": 0}]",nan,nan,nan,nan,nan,1922.166629,
ours,label_flip,0.100000,11,0.300000,100,10,30,10,0.000000,0.300000,0.226500,2.026173,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.581729726791382, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 10, ""test_acc"": 0.1289, ""test_loss"": 2.335868279266357, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 20, ""test_acc"": 0.1432, ""test_loss"": 2.37318650894165, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 30, ""test_acc"": 0.1725, ""test_loss"": 2.1713286182403566, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 40, ""test_acc"": 0.1663, ""test_loss"": 2.1437338001251223, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 50, ""test_acc"": 0.2659, ""test_loss"": 1.9138511651992798, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 59, ""test_acc"": 0.2265, ""test_loss"": 2.0261733291625976, ""n_kept"": 27, ""n_filtered"": 3}]",0.000000,0.000000,0.000000,0.416667,-0.018752,1910.174773,
ours,label_flip,0.100000,23,0.300000,100,10,30,10,0.000000,0.200000,0.243900,1.973090,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.7044000701904296, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 10, ""test_acc"": 0.114, ""test_loss"": 2.369210153961182, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 20, ""test_acc"": 0.1588, ""test_loss"": 2.211686421585083, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 30, ""test_acc"": 0.1453, ""test_loss"": 2.2199762798309326, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 40, ""test_acc"": 0.1562, ""test_loss"": 2.288456810760498, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 50, ""test_acc"": 0.1409, ""test_loss"": 2.2626458450317384, ""n_kept"": 27, ""n_filtered"": 3}, {""round"": 59, ""test_acc"": 0.2439, ""test_loss"": 1.9730897396087645, ""n_kept"": 27, ""n_filtered"": 3}]",0.000000,0.000000,0.000000,0.402222,-0.032579,1929.551420,
