method,seed,secagg_compatible,rho,byzantine_frac,num_clients,cohort_size,num_cohorts,n_byzantine,pct_cohorts_majority_byz,final_test_acc,final_test_loss,history,f1,precision,recall,auc,posterior_gap,run_seconds,error
nodef,11,1,0.300000,0.200000,100,10,30,20,0.000000,0.205600,2.157470,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.57042670173645}, {""round"": 10, ""test_acc"": 0.2037, ""test_loss"": 2.223360177230835}, {""round"": 20, ""test_acc"": 0.1685, ""test_loss"": 2.1993411321640015}, {""round"": 30, ""test_acc"": 0.173, ""test_loss"": 2.1371557571411133}, {""round"": 40, ""test_acc"": 0.2559, ""test_loss"": 1.963574969291687}, {""round"": 50, ""test_acc"": 0.2528, ""test_loss"": 2.013530682182312}, {""round"": 59, ""test_acc"": 0.2056, ""test_loss"": 2.1574701120376587}]",nan,nan,nan,nan,nan,5830.221671,
nodef,23,1,0.300000,0.200000,100,10,30,20,0.000000,0.206400,2.735463,"[{""round"": 0, ""test_acc"": 0.0995, ""test_loss"": 2.6435607608795166}, {""round"": 10, ""test_acc"": 0.186, ""test_loss"": 2.5215904621124268}, {""round"": 20, ""test_acc"": 0.2035, ""test_loss"": 2.5205979522705078}, {""round"": 30, ""test_acc"": 0.1722, ""test_loss"": 2.714084335708618}, {""round"": 40, ""test_acc"": 0.2147, ""test_loss"": 2.6211673793792722}, {""round"": 50, ""test_acc"": 0.1936, ""test_loss"": 2.701147565460205}, {""round"": 59, ""test_acc"": 0.2064, ""test_loss"": 2.735462629318237}]",nan,nan,nan,nan,nan,5790.002771,
nodef,47,1,0.300000,0.200000,100,10,30,20,0.000000,0.232300,2.181189,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.5067478054046632}, {""round"": 10, ""test_acc"": 0.1651, ""test_loss"": 2.1811315898895263}, {""round"": 20, ""test_acc"": 0.2124, ""test_loss"": 2.1854593715667723}, {""round"": 30, ""test_acc"": 0.211, ""test_loss"": 2.0943312446594238}, {""round"": 40, ""test_acc"": 0.2266, ""test_loss"": 2.042431442451477}, {""round"": 50, ""test_acc"": 0.2212, ""test_loss"": 2.0615897123336793}, {""round"": 59, ""test_acc"": 0.2323, ""test_loss"": 2.181189355659485}]",nan,nan,nan,nan,nan,5838.388358,
ours,11,1,0.300000,0.200000,100,10,30,20,0.000000,0.284500,1.946321,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.510196384048462}, {""round"": 10, ""test_acc"": 0.168, ""test_loss"": 2.2268984050750733}, {""round"": 20, ""test_acc"": 0.159, ""test_loss"": 2.1445578401565553}, {""round"": 30, ""test_acc"": 0.2143, ""test_loss"": 2.02638083190918}, {""round"": 40, ""test_acc"": 0.2488, ""test_loss"": 1.9863568916320802}, {""round"": 50, ""test_acc"": 0.2795, ""test_loss"": 1.889103773880005}, {""round"": 59, ""test_acc"": 0.2845, ""test_loss"": 1.9463207885742186}]",0.300000,0.300000,0.300000,0.751875,0.085008,5910.364634,
ours,23,1,0.300000,0.200000,100,10,30,20,0.000000,0.229600,2.377963,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.645098550796509}, {""round"": 10, ""test_acc"": 0.1433, ""test_loss"": 2.635796007156372}, {""round"": 20, ""test_acc"": 0.1669, ""test_loss"": 2.5265543445587157}, {""round"": 30, ""test_acc"": 0.1619, ""test_loss"": 2.585196292114258}, {""round"": 40, ""test_acc"": 0.2166, ""test_loss"": 2.4080662002563478}, {""round"": 50, ""test_acc"": 0.1836, ""test_loss"": 2.5219171756744383}, {""round"": 59, ""test_acc"": 0.2296, ""test_loss"": 2.377963022994995}]",0.550000,0.550000,0.550000,0.739375,0.090524,5843.602116,
ours,47,1,0.300000,0.200000,100,10,30,20,0.000000,0.247700,1.953363,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.5193068939208985}, {""round"": 10, ""test_acc"": 0.176, ""test_loss"": 2.4192261222839355}, {""round"": 20, ""test_acc"": 0.1753, ""test_loss"": 2.4362085777282716}, {""round"": 30, ""test_acc"": 0.1991, ""test_loss"": 2.4176531406402586}, {""round"": 40, ""test_acc"": 0.2086, ""test_loss"": 2.2255447101593018}, {""round"": 50, ""test_acc"": 0.218, ""test_loss"": 2.1809624488830566}, {""round"": 59, ""test_acc"": 0.2477, ""test_loss"": 1.9533631641387939}]",0.300000,0.300000,0.300000,0.665625,0.042855,5867.380039,
krum,11,0,0.300000,0.200000,100,10,30,20,0.000000,0.099900,2.417731,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 3.0413990730285643}, {""round"": 10, ""test_acc"": 0.1, ""test_loss"": 2.448433064651489}, {""round"": 20, ""test_acc"": 0.1, ""test_loss"": 2.3990001163482666}, {""round"": 30, ""test_acc"": 0.1019, ""test_loss"": 2.407481381225586}, {""round"": 40, ""test_acc"": 0.1, ""test_loss"": 2.3900465362548826}, {""round"": 50, ""test_acc"": 0.1131, ""test_loss"": 2.400694147491455}, {""round"": 59, ""test_acc"": 0.0999, ""test_loss"": 2.4177312133789064}]",nan,nan,nan,nan,nan,5794.421257,
krum,23,0,0.300000,0.200000,100,10,30,20,0.000000,0.100000,2.504407,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.700826067352295}, {""round"": 10, ""test_acc"": 0.1, ""test_loss"": 2.638034073257446}, {""round"": 20, ""test_acc"": 0.1, ""test_loss"": 2.3995243755340576}, {""round"": 30, ""test_acc"": 0.1, ""test_loss"": 2.4945550331115722}, {""round"": 40, ""test_acc"": 0.1, ""test_loss"": 2.558078453826904}, {""round"": 50, ""test_acc"": 0.1, ""test_loss"": 2.456308706665039}, {""round"": 59, ""test_acc"": 0.1, ""test_loss"": 2.5044070579528808}]",nan,nan,nan,nan,nan,5718.056220,
krum,47,0,0.300000,0.200000,100,10,30,20,0.000000,0.100000,2.419828,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.5571590606689454}, {""round"": 10, ""test_acc"": 0.0997, ""test_loss"": 2.3612513385772704}, {""round"": 20, ""test_acc"": 0.0918, ""test_loss"": 2.3627730712890624}, {""round"": 30, ""test_acc"": 0.101, ""test_loss"": 2.364240142059326}, {""round"": 40, ""test_acc"": 0.1, ""test_loss"": 2.36908323135376}, {""round"": 50, ""test_acc"": 0.1019, ""test_loss"": 2.3898542022705076}, {""round"": 59, ""test_acc"": 0.1, ""test_loss"": 2.419827604675293}]",nan,nan,nan,nan,nan,6206.334660,
trimmed,11,0,0.300000,0.200000,100,10,30,20,0.000000,0.250900,2.010848,"[{""round"": 0, ""test_acc"": 0.1, ""test_loss"": 2.367751884841919}, {""round"": 10, ""test_acc"": 0.1868, ""test_loss"": 2.1449166553497316}, {""round"": 20, ""test_acc"": 0.1655, ""test_loss"": 2.109921680831909}, {""round"": 30, ""test_acc"": 0.209, ""test_loss"": 2.0825135595321655}, {""round"": 40, ""test_acc"": 0.2339, ""test_loss"": 2.037758827781677}, {""round"": 50, ""test_acc"": 0.2476, ""test_loss"": 2.033662640571594}, {""round"": 59, ""test_acc"": 0.2509, ""test_loss"": 2.010847791671753}]",nan,nan,nan,nan,nan,5859.678320,
trimmed,23,0,0.300000,0.200000,100,10,30,20,0.000000,0.215700,2.045349,"[{""round"": 0, ""test_acc"": 0.0971, ""test_loss"": 2.4837691455841067}, {""round"": 10, ""test_acc"": 0.1139, ""test_loss"": 2.2672768127441407}, {""round"": 20, ""test_acc"": 0.1829, ""test_loss"": 2.1907870822906492}, {""round"": 30, ""test_acc"": 0.2011, ""test_loss"": 2.1306835578918455}, {""round"": 40, ""test_acc"": 0.2033, ""test_loss"": 2.1013679336547852}, {""round"": 50, ""test_acc"": 0.2058, ""test_loss"": 2.0908192874908447}, {""round"": 59, ""test_acc"": 0.2157, ""test_loss"": 2.045349489212036}]",nan,nan,nan,nan,nan,5758.580219,
trimmed,47,0,0.300000,0.200000,100,10,30,20,0.000000,0.203000,2.091285,"[{""round"": 0, ""test_acc"": 0.0993, ""test_loss"": 2.4271609020233154}, {""round"": 10, ""test_acc"": 0.1259, ""test_loss"": 2.2717778827667234}, {""round"": 20, ""test_acc"": 0.202, ""test_loss"": 2.1734144039154053}, {""round"": 30, ""test_acc"": 0.1891, ""test_loss"": 2.1504245819091796}, {""round"": 40, ""test_acc"": 0.2076, ""test_loss"": 2.123019048309326}, {""round"": 50, ""test_acc"": 0.2178, ""test_loss"": 2.1180867309570313}, {""round"": 59, ""test_acc"": 0.203, ""test_loss"": 2.0912845375061035}]",nan,nan,nan,nan,nan,5691.534258,
